gene,kruskal_stat,p_value,eta_squared,dominant_subtype,is_hub,fdr_bh,sig_fdr5
CCNA2,240.7974,6.398443675227214e-52,0.5582,Basal,False,1.2796887350454427e-49,True
PLK1,230.0672,1.3374631488217597e-49,0.533,Basal,False,1.3374631488217597e-47,True
CDC20,222.514,5.744526052770299e-48,0.5153,Basal,False,3.829684035180199e-46,True
ESR1,214.0124,3.953455384148043e-46,0.4953,LumB,False,1.9767276920740215e-44,True
CDK1,205.9385,2.197492355308088e-44,0.4764,Basal,False,8.789969421232351e-43,True
RAD51,199.9263,4.376145099893331e-43,0.4623,Basal,False,1.458715033297777e-41,True
BCL2,172.2255,4.209180702304703e-37,0.3972,LumA,False,1.2026230578013436e-35,True
GTPBP4,156.7116,9.391648006371909e-34,0.3608,Basal,False,2.347912001592977e-32,True
HDAC2,141.3568,1.9270977596852595e-30,0.3248,Basal,False,4.2824394659672434e-29,True
EGFR,125.3272,5.494617287178756e-27,0.2872,Basal,False,1.0989234574357512e-25,True
FANCE,124.0435,1.0386873432095612e-26,0.2841,Basal,False,1.8885224421992021e-25,True
BYSL,123.7399,1.2075213960635363e-26,0.2834,Basal,False,2.0125356601058939e-25,True
NOP58,112.7823,2.7636702026792212e-24,0.2577,Basal,False,4.2518003118141866e-23,True
GAPDH,110.2447,9.7200404847581e-24,0.2517,Basal,True,1.3885772121083e-22,True
MRPS5,109.6775,1.2874883609426777e-23,0.2504,Basal,False,1.7166511479235703e-22,True
POLR1C,101.8773,6.134908781233617e-22,0.2321,Basal,False,7.668635976542021e-21,True
MRPL13,101.3658,7.903075847573533e-22,0.2309,LumB,False,9.297736291262979e-21,True
MRPL2,99.7189,1.7862374953809443e-21,0.227,Basal,False,1.9847083282010492e-20,True
ERBB2,95.3782,1.5312178605417127e-20,0.2169,Her2,False,1.6118082742544343e-19,True
CALML3,90.7746,1.4934339384721727e-19,0.206,LumA,False,1.4934339384721726e-18,True
MRPL3,89.8467,2.363157423109847e-19,0.2039,Basal,False,2.2506261172474736e-18,True
MRPL11,85.6846,1.850126155052193e-18,0.1941,Basal,False,1.653996002198904e-17,True
MYC,85.6285,1.9020954025287398e-18,0.194,Basal,False,1.653996002198904e-17,True
RPS7,84.0184,4.215454810405439e-18,0.1902,Basal,False,3.512879008671199e-17,True
POLR2F,77.389,1.1142637433640787e-16,0.1746,Basal,False,8.91410994691263e-16,True
MAPK3,76.8725,1.4378489956625585e-16,0.1734,LumA,False,1.1060376889711987e-15,True
