Gene_Set,GS_size_in_data,High_importance_N,Overlap,Overlap_genes,Fold_Enrichment,P_value,FDR_BH,Sig_FDR5
HUB_HOUSEKEEPING,27,203,20,"ACTB,EEF2,GAPDH,HSP90AA1,HSP90AB1,RPL5,RPL6,RPL7,RPS11,RPS16,RPS18,RPS23,RPS27A,RPS3,RPS3A,RPS6,RPS9,UBA52,UBB,UBC",73.673,3.5740791071381064e-35,5.36111866070716e-34,True
HALLMARK_MYC_TARGETS,35,203,11,"BYSL,MYC,NOP56,NOP58,RPL5,RPL6,RPS11,RPS18,RPS27A,RPS3,RPS9",31.258,2.7319446447578687e-14,2.0489584835684016e-13,True
MET_PAPILLARY_PATHWAY,30,203,10,"EGF,EGFR,ERBB2,GRB2,KRAS,MAPK1,MAPK3,PIK3R1,SRC,STAT3",33.153,2.1315657665794863e-13,1.0657828832897432e-12,True
COSMIC_CGC,52,203,10,"AKT1,BRCA1,EGFR,ERBB2,JAK2,KRAS,MYC,PTEN,STAT3,TP53",19.127,9.263475516243659e-11,3.473803318591372e-10,True
HALLMARK_G2M_CHECKPOINT,31,203,6,"BRCA1,CCNA2,CDC20,CDK1,PLK1,RAD51",19.25,5.728946406103951e-07,1.7186839218311853e-06,True
HALLMARK_APOPTOSIS,29,203,5,"AKT1,BCL2,CASP3,PTEN,TP53",17.148,9.544508360603445e-06,2.3861270901508614e-05,True
HALLMARK_RENAL_CARCINOMA,24,203,4,"EGFR,MYC,PTEN,TP53",16.576,9.004210269404225e-05,0.0001929473629158048,True
CHROMATIN_REMODELLING,29,203,4,"CREBBP,EP300,HDAC1,HDAC2",13.718,0.0001934981659817717,0.000362809061215822,True
KICH_SIGNATURE,19,203,3,"EGFR,PTEN,TP53",15.704,0.0008617443172834364,0.0014362405288057274,True
MTOR_PI3K_PATHWAY,29,203,3,"AKT1,PIK3R1,PTEN",10.289,0.003018177330161589,0.004527265995242384,True
HALLMARK_EMT,31,203,3,"CDH1,CTNNB1,FN1",9.625,0.0036585496398504097,0.004988931327068741,True
KIRP_SIGNATURE,18,203,1,KRAS,5.525,0.16637671354882325,0.20797089193602905,False
VHL_HIF_PATHWAY,25,203,0,,0.0,1.0,1.0,False
HALLMARK_OXPHOS,24,203,0,,0.0,1.0,1.0,False
KIRC_SIGNATURE,17,203,0,,0.0,1.0,1.0,False
