gene,kruskal_stat,p_value,eta_squared,dominant_subtype,is_hub,fdr_bh,sig_fdr5
IL3RA,317.8592,9.500382318736979e-70,0.6074,KIRC,False,1.9000764637473958e-67,True
F8,307.2673,1.8956598833284186e-67,0.5871,KIRC,False,1.8956598833284186e-65,True
PDHA1,269.7459,2.663282094387663e-59,0.5149,KICH,False,1.5747730643808732e-57,True
ARHGEF6,269.4105,3.1495461287617463e-59,0.5143,KIRC,False,1.5747730643808732e-57,True
MSN,267.1932,9.54410196018551e-59,0.51,KIRC,False,3.817640784074204e-57,True
IL13RA2,262.7427,8.83377283997086e-58,0.5014,KIRC,False,2.944590946656953e-56,True
CUL4B,254.9534,4.340912114871598e-56,0.4864,KIRC,False,1.2402606042490278e-54,True
MAOB,253.4282,9.306268572614135e-56,0.4835,KIRC,False,2.3265671431535337e-54,True
PIGA,247.7588,1.584349885597277e-54,0.4726,KICH,False,3.5207775235495046e-53,True
UPRT,241.2759,4.051342452296454e-53,0.4601,KICH,False,8.102684904592908e-52,True
CETN2,235.2221,8.359471310074276e-52,0.4485,KIRP,False,1.5199038745589593e-50,True
EFHC2,224.5103,1.7709672532477767e-49,0.4279,KIRC,False,2.951612088746295e-48,True
UQCR11,220.9225,1.0648361461267908e-48,0.421,KICH,False,1.6382094555796782e-47,True
IFT27,214.2185,3.0411501544436726e-47,0.4081,KIRP,False,4.344500220633818e-46,True
HSD17B10,213.0969,5.328385401255476e-47,0.406,KIRP,False,7.104513868340634e-46,True
SLC25A5,206.5807,1.385409214062793e-45,0.3934,KICH,False,1.7317615175784914e-44,True
DLG3,202.0101,1.361645162158001e-44,0.3846,KICH,False,1.6019354848917659e-43,True
IL33,201.3518,1.8924149943574664e-44,0.3834,KIRC,False,2.1026833270638516e-43,True
CWC25,200.1405,3.46774136985141e-44,0.381,KIRP,False,3.6502540735278e-43,True
GJB1,199.9709,3.7746261007463995e-44,0.3807,KIRP,False,3.7746261007463996e-43,True
TAF9B,193.301,1.0598063218101617e-42,0.3679,KIRC,False,1.0093393541049159e-41,True
COX7B,192.3812,1.678605329832508e-42,0.3661,KICH,False,1.52600484530228e-41,True
IDH3G,192.1971,1.840480666756884e-42,0.3658,KICH,False,1.6004179710929426e-41,True
